Species,SRR1914382,SRR1914383,SRR1914384,SRR1914691,SRR1914696,SRR1914700,SRR1914713,SRR1914738,SRR1914742,SRR1914747,SRR1916193,SRR1916194,SRR1916195,SRR1916196,SRR1916197,SRR1916198,SRR1916199,SRR1916200,SRR1916201,SRR1916202,SRR1916203,SRR1916204,SRR1916205,SRR1916206,SRR1916207,SRR1916208,SRR1916209,SRR1916210,SRR1916211,SRR1916212,SRR1916213,SRR1916214,SRR1916215,SRR1916216,SRR1916217,SRR1916218,SRR1916219,SRR1916220
ASV_020149,0,0,0,0,0,0,0,28,28,28,0,0,0,28,28,28,0,0,0,0,0,0,0,0,28,28,0,28,0,0,0,0,0,28,0,28,28,0
ASV_020288,0,0,0,37,37,37,0,0,0,0,0,0,37,0,0,0,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,37,0,37,0,0,37
ASV_020708,0,0,0,0,0,0,0,27,27,27,0,0,0,27,27,27,0,0,0,0,0,0,0,0,27,27,0,27,0,0,0,0,0,27,0,27,27,0
ASV_020709,0,0,0,0,0,0,0,27,27,27,0,0,0,27,27,27,0,0,0,0,0,0,0,0,27,27,0,27,0,0,0,0,0,27,0,27,27,0
ASV_020895,40,40,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,40,0,0,0,0,0,0
ASV_021154,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35,35,35,35,35,35,0,0,0,35,0,0,0,35,0,0,0,0,0,0,0
ASV_021155,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35,35,35,35,35,35,0,0,0,35,0,0,0,35,0,0,0,0,0,0,0
ASV_021628,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,34,34,34,34,34,0,0,0,34,0,0,0,34,0,0,0,0,0,0,0
ASV_022659,0,0,0,0,0,0,0,24,24,24,0,0,0,24,24,24,0,0,0,0,0,0,0,0,24,24,0,24,0,0,0,0,0,24,0,24,24,0
ASV_022660,0,0,0,0,0,0,0,24,24,24,0,0,0,24,24,24,0,0,0,0,0,0,0,0,24,24,0,24,0,0,0,0,0,24,0,24,24,0
ASV_022661,0,0,0,0,0,0,0,24,24,24,0,0,0,24,24,24,0,0,0,0,0,0,0,0,24,24,0,24,0,0,0,0,0,24,0,24,24,0
ASV_022662,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,32,32,32,32,32,0,0,0,32,0,0,0,32,0,0,0,0,0,0,0
ASV_023183,0,0,0,31,31,31,0,0,0,0,0,0,31,0,0,0,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31,0,31,0,0,31
ASV_023184,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,31,31,31,31,31,0,0,0,31,0,0,0,31,0,0,0,0,0,0,0
ASV_023368,0,0,0,0,0,0,0,23,23,23,0,0,0,23,23,23,0,0,0,0,0,0,0,0,23,23,0,23,0,0,0,0,0,23,0,23,23,0
ASV_024162,0,0,0,0,0,0,0,22,22,22,0,0,0,22,22,22,0,0,0,0,0,0,0,0,22,22,0,22,0,0,0,0,0,22,0,22,22,0
ASV_025013,0,0,0,0,0,0,0,21,21,21,0,0,0,21,21,21,0,0,0,0,0,0,0,0,21,21,0,21,0,0,0,0,0,21,0,21,21,0
ASV_025899,0,0,0,0,0,0,0,20,20,20,0,0,0,20,20,20,0,0,0,0,0,0,0,0,20,20,0,20,0,0,0,0,0,20,0,20,20,0
ASV_026387,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,26,26,26,26,26,0,0,0,26,0,0,0,26,0,0,0,0,0,0,0
ASV_026865,0,0,0,0,0,0,0,19,19,19,0,0,0,19,19,19,0,0,0,0,0,0,0,0,19,19,0,19,0,0,0,0,0,19,0,19,19,0
ASV_026866,0,0,0,0,0,0,0,19,19,19,0,0,0,19,19,19,0,0,0,0,0,0,0,0,19,19,0,19,0,0,0,0,0,19,0,19,19,0
ASV_027105,0,0,0,25,25,25,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,25,0,0,25
ASV_027919,0,0,0,24,24,24,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,0,24,0,0,24
ASV_028866,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,23,23,23,23,23,0,0,0,23,0,0,0,23,0,0,0,0,0,0,0
ASV_029157,0,0,0,0,0,0,0,17,17,17,0,0,0,17,17,17,0,0,0,0,0,0,0,0,17,17,0,17,0,0,0,0,0,17,0,17,17,0
ASV_030431,24,24,24,0,0,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,24,0,0,0,0,0,0
ASV_030432,24,24,24,0,0,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,24,0,0,0,0,0,0
ASV_030433,24,24,24,0,0,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,24,0,0,0,0,0,0
ASV_032486,22,22,22,0,0,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,22,0,0,0,0,0,0
ASV_032487,22,22,22,0,0,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,22,0,0,0,0,0,0
ASV_033669,21,21,21,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,21,0,0,0,0,0,0
ASV_036111,0,0,0,17,17,17,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,0,17,0,0,17
ASV_039337,17,17,17,0,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,17,0,0,0,0,0,0
ASV_043979,0,0,0,13,13,13,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,13,0,0,13
ASV_089437,5,5,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0
